,Y,Customer_Type,P_Client,Educational_Level,Marital_Status,Number_Of_Dependant,Years_At_Residence,Net_Annual_Income,Years_At_Business,Prod_Sub_Category,Source,Type_Of_Residence,Nb_Of_Products,Prod_Category,sub_delay,is_closed_date,bussiness_salaries,Nb_salaries,money_by_person
0,0,Non Existing Client,NP_Client,University,Married,3.0,1,36.0,1.0,C,Sales,Owned,1,B,1,0,18.0,18.0,9.0
1,0,Existing Client,P_Client,University,Married,0.0,12,18.0,2.0,C,Sales,Parents,1,G,876,0,6.0,9.0,18.0
2,0,Non Existing Client,NP_Client,University,Married,2.0,10,36.0,1.0,C,Sales,Owned,1,B,1,0,18.0,18.0,12.0
3,1,Existing Client,NP_Client,University,Married,3.0,3,36.0,1.0,C,Sales,New rent,1,L,13,1,18.0,18.0,9.0
4,0,Non Existing Client,NP_Client,University,Married,2.0,1,36.0,1.0,C,Sales,Owned,1,D,1,0,18.0,18.0,12.0
5,0,Existing Client,NP_Client,University,Married,0.0,28,60.0,2.0,C,Sales,Old rent,1,C,19,0,20.0,30.0,60.0
6,0,Non Existing Client,NP_Client,University,Married,0.0,10,36.0,1.0,C,Sales,Owned,1,B,11,0,18.0,18.0,36.0
7,0,Non Existing Client,NP_Client,University,Married,0.0,15,36.0,1.0,C,Sales,Owned,1,B,1,1,18.0,18.0,36.0
8,0,Existing Client,NP_Client,University,Alone,0.0,0,500.0,3.0,P,Branch,Owned,1,E,4059,0,125.0,250.0,500.0
9,1,Existing Client,NP_Client,University,Married,4.0,35,87.0,2.0,C,Sales,Owned,1,L,6,1,29.0,43.5,17.4
10,0,Non Existing Client,NP_Client,University,Alone,0.0,10,36.0,3.0,C,Sales,Owned,1,B,28,0,9.0,18.0,36.0
11,0,Non Existing Client,NP_Client,University,Married,0.0,10,18.0,2.0,C,Sales,Owned,2,B,14,0,6.0,6.0,18.0
12,0,Existing Client,P_Client,University,Alone,0.0,2,29.0,4.0,C,Branch,Owned,1,G,1749,0,5.8,14.5,29.0
13,0,Non Existing Client,NP_Client,University,Married,0.0,15,36.0,1.0,C,Sales,Owned,1,B,1,0,18.0,18.0,36.0
14,0,Non Existing Client,NP_Client,University,Married,0.0,1,36.0,1.0,G,Sales,Owned,1,C,4,0,18.0,18.0,36.0
15,0,Non Existing Client,NP_Client,University,Married,0.0,10,36.0,1.0,C,Sales,Owned,1,B,5,0,18.0,18.0,36.0
16,0,Non Existing Client,NP_Client,University,Married,0.0,15,30.0,1.0,C,Sales,Owned,1,B,9,0,15.0,15.0,30.0
17,0,Existing Client,NP_Client,University,Alone,0.0,10,18.0,1.0,C,Sales,Owned,1,B,166,0,9.0,9.0,18.0
18,1,Non Existing Client,NP_Client,University,Married,2.0,1,36.0,1.0,C,Sales,Owned,1,B,3,1,18.0,18.0,12.0
19,0,Non Existing Client,NP_Client,University,Married,3.0,8,18.0,2.0,C,Sales,Owned,1,D,3,0,6.0,9.0,4.5
20,0,Non Existing Client,NP_Client,University,Married,0.0,15,30.0,1.0,C,Sales,Owned,1,B,21,0,15.0,15.0,30.0
21,0,Non Existing Client,NP_Client,University,Married,0.0,12,31.0,1.0,C,Sales,Owned,1,K,20,0,15.5,15.5,31.0
22,0,Non Existing Client,NP_Client,University,Alone,0.0,27,26.0,6.0,C,Branch,Owned,1,K,15,1,3.7142857142857144,13.0,26.0
23,0,Existing Client,P_Client,University,Married,3.0,10,24.0,3.0,C,Sales,Owned,1,G,1655,0,6.0,12.0,6.0
24,0,Non Existing Client,NP_Client,University,Married,2.0,2,36.0,1.0,C,Sales,Owned,1,B,4,0,18.0,18.0,12.0
25,0,Non Existing Client,NP_Client,University,Married,0.0,1,36.0,1.0,C,Sales,Owned,1,B,1,0,18.0,18.0,36.0
26,0,Non Existing Client,NP_Client,University,Married,0.0,1,20.0,1.0,C,Sales,Owned,1,D,6,0,10.0,10.0,20.0
27,0,Non Existing Client,NP_Client,University,Alone,0.0,4,18.0,4.0,C,Sales,Owned,1,B,4,0,3.6,9.0,18.0
28,0,Existing Client,NP_Client,University,Married,2.0,10,18.0,2.0,C,Sales,Owned,1,D,535,0,6.0,9.0,6.0
29,0,Non Existing Client,NP_Client,University,Married,0.0,22,18.0,2.0,C,Sales,Owned,1,B,1,0,6.0,9.0,18.0
30,0,Existing Client,NP_Client,University,Married,3.0,18,300.0,16.0,P,Branch,Owned,1,E,10326,0,17.647058823529413,150.0,75.0
31,0,Non Existing Client,NP_Client,University,Married,2.0,16,20.0,1.0,C,Sales,Owned,1,B,1,0,10.0,10.0,6.666666666666667
32,0,Non Existing Client,NP_Client,University,Married,3.0,1,36.0,1.0,C,Sales,Owned,1,B,3,0,18.0,18.0,9.0
33,0,Non Existing Client,NP_Client,University,Married,0.0,5,18.0,1.0,C,Sales,New rent,1,B,3,0,9.0,9.0,18.0
34,0,Non Existing Client,NP_Client,University,Married,1.0,50,36.0,50.0,C,Sales,Owned,1,B,2,0,0.7058823529411765,18.0,18.0
35,0,Existing Client,NP_Client,Master/PhD,Married,1.0,27,120.0,2.0,C,Branch,Parents,1,C,9,0,40.0,60.0,60.0
36,0,Existing Client,NP_Client,University,Married,3.0,5,18.0,5.0,C,Sales,Owned,1,B,852,0,3.0,9.0,4.5
37,0,Existing Client,NP_Client,University,Married,0.0,1,36.0,1.0,C,Branch,Owned,1,B,935,1,18.0,18.0,36.0
38,0,Non Existing Client,NP_Client,University,Married,0.0,10,36.0,1.0,C,Sales,Owned,2,D,1,0,18.0,12.0,36.0
39,0,Existing Client,NP_Client,University,Alone,1.0,20,24.0,20.0,G,Branch,Owned,1,B,1399,0,1.1428571428571428,12.0,12.0
40,0,Non Existing Client,NP_Client,University,Married,3.0,38,20.0,1.0,C,Sales,Old rent,2,D,1,1,10.0,6.666666666666667,5.0
41,0,Non Existing Client,NP_Client,University,Alone,0.0,6,36.0,10.0,C,Sales,Owned,1,B,1,0,3.272727272727273,18.0,36.0
42,0,Existing Client,NP_Client,University,Married,3.0,1,36.0,1.0,C,Sales,Owned,1,B,1687,0,18.0,18.0,9.0
43,0,Non Existing Client,NP_Client,University,Married,0.0,10,36.0,1.0,C,Sales,Owned,1,B,2,0,18.0,18.0,36.0
44,0,Existing Client,P_Client,University,Married,1.0,3,27.0,2.0,C,Branch,Owned,1,G,1110,0,9.0,13.5,13.5
